Date,ASIANPAINT,BAJAJ-AUTO,HCLTECH,INFY,TCS,TITAN
2017-07-03 00:00:00+00:00,1122,2793.5,419.9,476.8,1187.5,531.05
2017-07-04 00:00:00+00:00,1109.95,2779.6,420,480.5,1180.4,534.25
2017-07-05 00:00:00+00:00,1132,2773,419,476,1179,531.65
2017-07-06 00:00:00+00:00,1129,2727,420.28,473.4,1175.03,533.85
2017-07-07 00:00:00+00:00,1114.15,2710,416,467.55,1166,534
2017-07-10 00:00:00+00:00,1127,2731,424.28,477.03,1217.5,536.5
2017-07-11 00:00:00+00:00,1134,2798.05,425,489.3,1241.25,528
2017-07-12 00:00:00+00:00,1137,2788,428.03,486.5,1220.5,530.55
2017-07-13 00:00:00+00:00,1123,2788.85,429.75,490,1219.5,534
2017-07-14 00:00:00+00:00,1119.5,2811.2,425,485.05,1199.55,532.6
2017-07-17 00:00:00+00:00,1125.5,2826.2,434.48,492.78,1200,531.5
2017-07-18 00:00:00+00:00,1146.5,2831,440.13,492,1207.55,528
2017-07-19 00:00:00+00:00,1152.95,2834.95,449.35,489.8,1224.62,532.15
2017-07-20 00:00:00+00:00,1156.15,2816,442.45,484.25,1218.5,529.5
2017-07-21 00:00:00+00:00,1156.05,2815,451.5,489.95,1248,545.5
2017-07-24 00:00:00+00:00,1158.1,2819.05,451.1,495.25,1267.5,536.85
2017-07-25 00:00:00+00:00,1148,2840,448.5,496.43,1288.65,535
2017-07-26 00:00:00+00:00,1136.55,2845,444,497,1276.7,536.7
2017-07-27 00:00:00+00:00,1153,2852.4,449.5,484.93,1238.5,528.3
2017-07-28 00:00:00+00:00,1156,2831,445.5,497.85,1240,533.8
2017-07-31 00:00:00+00:00,1163,2812,445.3,507.5,1247.47,544
2017-08-01 00:00:00+00:00,1150,2826,444,502.25,1247.57,538.3
2017-08-02 00:00:00+00:00,1145,2799.75,440.5,494.58,1237.5,553
2017-08-03 00:00:00+00:00,1148,2834,437.65,490.9,1245.95,556.6
2017-08-04 00:00:00+00:00,1159.95,2873.65,444,491.75,1262.5,610.75
2017-08-07 00:00:00+00:00,1150,2890,443,483.25,1253.7,612.35
2017-08-08 00:00:00+00:00,1150,2921,441.25,481.75,1250.07,610.2
2017-08-09 00:00:00+00:00,1155.55,2820,439.73,485.35,1254.18,618.85
2017-08-10 00:00:00+00:00,1152.5,2808.8,443,492.48,1260,614
2017-08-11 00:00:00+00:00,1146,2790,435.5,493.25,1246.32,611.65
2017-08-14 00:00:00+00:00,1155,2827,431,491,1234,633
2017-08-16 00:00:00+00:00,1140,2831.65,433.45,489.68,1245.07,627.85
2017-08-17 00:00:00+00:00,1134,2828,436.68,510.53,1242.78,623.45
2017-08-18 00:00:00+00:00,1135.55,2803.95,438,461.7,1257.5,623.85
2017-08-21 00:00:00+00:00,1137,2760.1,435.75,435.45,1256.6,614
2017-08-22 00:00:00+00:00,1126,2735,438.65,438.2,1250,616
2017-08-23 00:00:00+00:00,1140.1,2759.5,441.25,446.6,1245.8,607.5
2017-08-24 00:00:00+00:00,1131.2,2726,433.1,456,1249.03,605.95
2017-08-28 00:00:00+00:00,1155.9,2738.15,433.53,470.13,1245.5,612
2017-08-29 00:00:00+00:00,1150.2,2720,425.58,463.05,1237.53,600.65
2017-08-30 00:00:00+00:00,1154,2753,426,463.5,1242.5,611
2017-08-31 00:00:00+00:00,1170.75,2799.05,427.5,457.38,1249,618.9
2017-09-01 00:00:00+00:00,1215,2916.95,433.88,459.98,1230.3,613.5
2017-09-04 00:00:00+00:00,1197,2910,428.75,449.98,1228.5,612.1
2017-09-05 00:00:00+00:00,1206.05,2950,430,450.5,1242.32,638.9
2017-09-06 00:00:00+00:00,1203.95,2915,426,448.45,1226.5,641.9
2017-09-07 00:00:00+00:00,1196.1,2964.75,429.03,447.5,1230,637.7
2017-09-08 00:00:00+00:00,1204.05,2910,429.9,441.5,1232.57,631.6
2017-09-11 00:00:00+00:00,1238.5,2933,431.23,439.68,1227.5,632.65
2017-09-12 00:00:00+00:00,1255.8,2935.95,430.75,441.75,1248.5,637.45
2017-09-13 00:00:00+00:00,1250,2937.55,437.05,442.25,1246.35,629
2017-09-14 00:00:00+00:00,1241,2925.9,440.55,446.15,1242.5,631.1
2017-09-15 00:00:00+00:00,1247.45,3030,445.5,454.28,1252,631.65
2017-09-18 00:00:00+00:00,1252.5,3138,448.15,454.5,1252.5,644.1
2017-09-19 00:00:00+00:00,1253.5,3120,446,456.58,1249,640.05
