,ASIANPAINT.NS,BAJAJ-AUTO.NS,HCLTECH.NS,INFY.NS,TCS.NS,TITAN.NS
2022-01-01,3382.949951171875,3249.25,1319.0999755859375,1887.75,3738.35009765625,2522.39990234375
2022-01-02,3394.9197955306763,3255.3706412331967,1318.0483024274868,1883.0957984040404,3735.456594676666,2523.8255894109657
2022-01-03,3405.856181919114,3265.925312233734,1318.0442326028958,1883.7588647310997,3739.89129352948,2531.7790225222357
2022-01-04,3411.3581382060993,3279.620988171819,1321.727214860428,1880.3121199204465,3732.565069880375,2512.1781816324983
2022-01-05,3418.6114853579115,3272.317304225732,1321.3727909947688,1886.58140225846,3743.8765435661335,2511.757639316824
2022-01-06,3425.899323089561,3271.4172609448137,1324.5609804133219,1885.7633543219447,3739.6115280414624,2524.061923615191
2022-01-07,3425.8477367871988,3265.9063695905193,1325.4316627400972,1890.4601478460547,3733.7624160006685,2525.822349797971
2022-01-08,3415.953689726909,3270.622812604656,1329.9494024132287,1895.038011638661,3733.936349852731,2514.5895261882733
2022-01-09,3407.634266269044,3269.062337277789,1332.2421471268083,1894.538865541057,3737.1493194003388,2524.208352690708
2022-01-10,3401.5463054619127,3270.423790501662,1333.1757364062653,1892.5530470592162,3724.920727774826,2507.2827191220476
2022-01-11,3397.289307363038,3274.153534061784,1331.6080603374087,1897.635731481494,3722.667612639714,2516.9232004495657
2022-01-12,3402.4359479764157,3263.264795936263,1330.5837226984509,1895.2251912513343,3714.0995331069184,2512.001043060298
2022-01-13,3405.697924173858,3267.5367464427463,1335.9456553135485,1891.8324113901228,3727.146807790422,2507.8273333794805
2022-01-14,3406.8029087952186,3254.5329772707637,1329.394575875549,1890.977033472764,3716.7351322939744,2516.3190913093304
2022-01-15,3412.8887741078775,3242.370868421601,1326.2321749312646,1896.8794564802251,3717.9334786353006,2521.7368611605816
2022-01-16,3397.063428399383,3226.726791745831,1324.6437135664826,1897.2444969549997,3721.5497918870437,2510.181775931795
2022-01-17,3404.3877057054206,3237.190879256,1328.4059471609553,1900.4984388818525,3718.333326717365,2508.700925520707
2022-01-18,3420.262350176157,3232.34689327933,1327.099497995383,1902.2220263735617,3704.6145032165614,2513.059921144445
2022-01-19,3416.7865054994973,3236.489804076379,1323.6656275023906,1889.9854059512843,3713.304709885936,2512.769040543202
2022-01-20,3412.9037294992254,3243.2337989156304,1320.7114290378913,1888.0947084805825,3706.7233218401298,2505.3247051567064
2022-01-21,3427.5740694943756,3251.152947022085,1320.6210556217534,1888.255564146954,3705.910936984369,2495.288616416242
2022-01-22,3437.208688318321,3250.687667234568,1320.0788612515062,1889.6946649836736,3703.0308098938426,2496.026587521112
2022-01-23,3446.007036026508,3248.335664317977,1320.0737708005122,1890.4028490185003,3711.0424973788113,2480.4383796337397
2022-01-24,3437.35588229091,3265.2878930582347,1317.0289821013491,1891.408712779088,3707.5838978921165,2472.7469122619887
2022-01-25,3446.0577050256215,3255.42062457723,1320.5517863145028,1889.5219635114886,3715.6214513208492,2467.328032998753
2022-01-26,3443.780971067817,3251.7736002851484,1319.88762745822,1897.3865004352297,3712.515597001207,2467.606491528477
2022-01-27,3442.000920760186,3269.8879817152897,1318.7236604612008,1900.7923741722868,3700.547637288316,2449.042827328216
2022-01-28,3419.0698961950147,3264.7981310217274,1325.1389382285097,1900.4254838880365,3706.8638676515643,2444.7636637128485
2022-01-29,3427.1182530421756,3267.00709999859,1324.999014887767,1904.2796480976394,3706.912214818324,2453.373778877064
2022-01-30,3444.2540868224933,3257.4292204503176,1317.0433804325105,1891.9476479294003,3707.9092788646753,2464.436647049397
2022-01-31,3441.0851183142613,3262.739617986214,1314.3901315386765,1886.6958786949351,3712.4438833725553,2459.443171691588
2022-02-01,3448.446259922789,3268.7284097261245,1314.2743664852665,1890.3856160433436,3710.5709552954386,2447.9079625245204
2022-02-02,3445.845282905147,3257.8350170252806,1315.203025643375,1885.4080447704662,3708.1016288934356,2454.3052016851475
2022-02-03,3449.6870363090447,3264.8678809409616,1315.2690405630954,1891.083223366803,3724.727707424031,2466.467180690396
2022-02-04,3455.0025336187973,3250.980960233558,1313.1663695312482,1890.2453290034682,3724.932597091155,2469.863318774845
2022-02-05,3447.081059497713,3255.4808146371997,1310.992201681353,1889.162357308997,3725.0908632634373,2466.3998964918987
2022-02-06,3445.1487654263374,3260.743506470026,1314.908994875102,1893.481637723245,3723.0486174117264,2478.541963913759
2022-02-07,3442.668084317469,3269.4081385912664,1315.5203384123029,1902.1986398128324,3719.017054985642,2479.2493040233203
2022-02-08,3442.56069110408,3280.833817225601,1316.1193546636077,1903.5624650908078,3715.09809872115,2471.5325749316385
2022-02-09,3446.776657053147,3270.289715842778,1308.5793823104145,1899.8978131940269,3717.323339549147,2486.547988682387
2022-02-10,3465.462787528902,3276.269712976822,1309.38937928596,1906.4324318743475,3719.4196708700365,2483.6404638079716
2022-02-11,3457.2207960712885,3272.257737316007,1304.1207244437765,1906.6070954804309,3724.504138227726,2468.249604827376
2022-02-12,3452.961560900585,3262.1332006385246,1299.7374952706402,1908.8890404817435,3726.271300845714,2467.1579422769746
2022-02-13,3452.5802229935093,3269.2699302281526,1298.2468014037136,1907.2585978607997,3729.056742085516,2472.946302217969
2022-02-14,3455.6704135097907,3254.13392990338,1295.7819333199798,1910.783747612175,3735.0782424596136,2495.382824647254
2022-02-15,3459.295141081298,3253.5661285777833,1289.6559169154493,1915.5536093503347,3739.7350379580507,2495.9728454476813
2022-02-16,3467.177423276912,3250.565363977662,1289.295322305565,1912.441071066105,3743.9113842170345,2499.1719842848133
2022-02-17,3462.685391408408,3244.7486014797987,1289.8844346722788,1914.154562704248,3748.533151597204,2509.4902299363475
2022-02-18,3461.8967514039264,3237.2324425186976,1289.6585919337745,1903.601305050089,3758.690401565651,2507.354938658257
2022-02-19,3491.643781280519,3235.113138300795,1287.7892485210846,1900.83224880264,3748.9426716405223,2506.7169407658157
2022-02-20,3486.7497469410773,3229.0888998675264,1291.04490851571,1897.6469760119558,3758.7351285935447,2506.7774090363196
2022-02-21,3499.733586905503,3229.617780897428,1290.3684431773472,1906.3829570349303,3754.444510426262,2498.8725796011995
2022-02-22,3482.9481371911615,3224.032134765074,1290.8305856591828,1908.2655280980143,3756.993569105625,2501.586837763617
2022-02-23,3497.272397313028,3215.4114401760376,1289.8346385523132,1906.1991680777126,3757.704220986576,2503.7919965529827
2022-02-24,3480.2248504741474,3211.9126965899613,1293.0421383042244,1905.8488900545083,3750.725726578191,2493.4834188689106
2022-02-25,3488.9395447453962,3194.7612714362917,1300.5167056045616,1908.264784598161,3757.0743522929624,2495.910226049989
2022-02-26,3491.6131164841668,3197.7149586240375,1308.2896750934244,1900.2046228398854,3776.1439991671205,2503.1604347351918
2022-02-27,3502.973711802509,3206.891023205786,1308.4622236645369,1892.1921248829226,3776.842711590891,2490.6168681024055
2022-02-28,3517.392968368217,3207.55710028225,1313.8653063066415,1891.1517320560154,3782.6974072337275,2494.778180919041
2022-03-01,3527.1213619516034,3188.909600267349,1316.8440336460903,1893.9134737113643,3770.227780549422,2497.798648808381
2022-03-02,3538.8398883313553,3183.064220728899,1316.2268052706254,1895.108245388607,3768.567961587374,2496.5885171093196
2022-03-03,3545.8257337071723,3171.9864824508772,1317.9325661455787,1896.6082843228846,3767.6711810391944,2487.1420461858697
2022-03-04,3544.4022096806175,3167.520217568834,1319.422302321526,1900.5932391644535,3759.2118006002092,2496.860069111029
2022-03-05,3540.2598629466906,3171.5653538007446,1318.7586200360572,1902.1234499638977,3759.1081175752915,2507.2138000210775
2022-03-06,3538.9292273248516,3161.0025618782656,1323.031762397836,1894.9391903689739,3750.302297792211,2516.858602525861
2022-03-07,3534.352004975516,3157.5991401411693,1321.8987792219657,1901.1091482267698,3747.099223351589,2518.4550043460936
2022-03-08,3514.544642959803,3160.7183947652134,1316.413837749537,1895.0136878843884,3750.091048326839,2507.416705229845
2022-03-09,3526.669216008927,3144.3251519306,1317.695619282722,1894.4852894500575,3755.132186081,2503.1619673908485
2022-03-10,3521.303404680554,3141.5923884629306,1313.1580204951892,1900.1424088691656,3765.068347338659,2513.8022383763205
2022-03-11,3511.1390734679117,3138.946268018094,1312.2370668283838,1903.285531732014,3771.290447382699,2513.9383104317994
2022-03-12,3498.3006542179196,3146.1038801633904,1309.644650715048,1907.053168925541,3773.2570231410346,2521.7141319011903
2022-03-13,3496.9551931488795,3153.3114248442307,1313.2646826676214,1911.9515055053084,3773.949907443134,2526.3318679854115
2022-03-14,3484.4815093996986,3152.8472168141984,1317.7985270695933,1905.9857940339002,3777.387834605578,2523.9104131658755
2022-03-15,3493.956447997464,3152.4245888282717,1315.9116761698476,1896.9379912789677,3787.8377278662156,2521.332963605693
2022-03-16,3498.0487797845553,3155.946118227992,1311.7697747423135,1898.9820429991807,3782.672397117185,2520.3029451573666
2022-03-17,3484.9808541150865,3163.089062987275,1303.6093818806828,1908.0753337439564,3782.7079821830075,2520.819433212136
2022-03-18,3477.616577778224,3159.6460527895892,1302.741755606737,1912.1572924039817,3780.181258722788,2505.852978484593
